id,seller,price,area_total,area_kitchen,area_living,floor,rooms,layout,ceiling,bathrooms_shared,bathrooms_private,windows_court,windows_street,balconies,loggias,condition,phones,building_id
76,3,8512341,75,34.7,25.1,8,2,,2.89,1,1,1,0,0,1,,1,654
77,1,6700000,64.1,12.7,34,15,2,1,3.2,1,0,0,1,1,0,0,1,9081
78,3,8722250,69.5,17.8,35.6,2,3,,2.65,0,2,1,1,,,,1,3221
79,3,8782200,57.4,,28.7,15,2,,3,0,1,1,0,0,1,,1,8498
80,1,10000000,84.8,12.8,46.1,8,3,1,,0,1,1,0,0,1,0,1,3934
81,1,11000000,71.6,,,12,3,1,2.7,2,0,1,0,0,1,2,1,3388
82,2,12500000,73.2,10.2,44.2,10,3,1,3.14,1,1,1,1,0,1,0,1,5428
83,3,2919800,22.46,2.9,10,4,1,,2.8,1,0,0,1,0,1,,1,940
84,3,3128669,22.83,2.9,10.2,2,1,,2.8,1,0,0,1,0,1,,1,940
85,2,3500000,28.78,4,,3,1,,,1,0,,,0,1,,1,4799
86,3,3550140,19.8,5.2,9.6,4,1,,2.65,1,0,1,0,,,,1,5751
87,3,3553122,25.71,4.4,11.5,10,1,,2.8,1,0,0,1,0,1,,1,940
88,3,3693755,28.41,7,13.8,4,1,,2.8,1,0,0,1,0,1,,1,940
89,1,3825000,23.6,,,6,1,,,1,0,1,0,0,1,,1,8601
90,3,3914695,36.43,10.7,12.2,5,1,,2.8,1,0,0,1,0,1,,1,940
91,3,3987634,36.61,13.7,10.4,5,1,,2.8,1,0,0,1,0,1,,1,940
92,3,4082013,32.54,10.3,11.8,7,1,,2.8,1,0,0,1,0,1,,1,940
93,3,4090399,28.68,7.5,13.9,6,1,,2.8,1,0,0,1,0,1,,1,940
94,3,4139820,21.8,5.7,10.3,1,1,,2.65,1,0,1,0,,,,1,4162
95,3,4126339,32.29,11.4,10.4,10,1,,2.8,1,0,0,1,0,1,,1,940
96,1,4100000,28.79,,,9,1,,,1,0,1,0,0,1,,1,1473
97,3,4197500,28.75,4,15.1,12,1,,2.7,0,1,,,0,1,,1,6703
98,3,4208520,20.4,5.1,9.7,3,1,,2.65,1,0,1,0,,,,1,4028
99,3,4288760,23.8,6.1,11.3,4,1,,2.65,1,0,1,0,,,,1,3465
100,3,4290120,20.4,5.1,9.7,5,1,,2.65,1,0,1,0,1,0,,1,9522
101,,130001970,159,,,6,4,,3.1,0,2,,,,,,1,7899
102,2,4280000,34.34,7.8,13.1,5,1,,,1,0,1,0,0,1,,1,6712
103,1,4325000,31.7,,,1,1,,,1,0,1,0,0,1,,1,8601
104,3,4326660,23.4,6.1,11.3,9,1,,2.65,1,0,1,0,,,,1,4076
105,3,4336200,19.8,5.1,9.7,16,1,,2.65,1,0,1,0,,,,1,400
106,3,4333980,23.8,6.1,11.3,9,1,,2.65,1,0,1,0,,,,1,4076
107,0,4450000,25.3,7.2,11.4,4,1,,,1,0,0,1,,,0,2,7193
108,3,4500720,25.2,6.5,11.9,2,1,,2.65,1,0,1,0,,,,1,4162
109,3,4508196,31.57,16.5,8.3,6,1,,2.8,1,0,,,1,1,,1,3796
110,3,4579200,27,6.9,12.7,2,1,,2.65,1,0,1,0,,,,1,5176
111,2,4550000,25.5,7.2,11.1,20,1,,,1,0,1,0,,,0,1,7193
112,0,4550000,35,10,17,11,1,,,1,0,1,0,0,1,,1,8139
113,3,4635800,35.66,10.5,18,2,1,,2.7,0,1,,,,,,1,6703
114,3,4622750,27.5,7.1,12.8,3,1,,2.65,1,0,1,0,,,,1,4076
115,0,4600000,27.9,5.3,14.1,7,1,,,1,0,,,1,0,,2,1765
116,3,4673700,27,6.9,12.7,3,1,,2.65,1,0,1,0,,,,1,9522
117,3,4680500,27.5,7.1,12.8,8,1,,2.65,1,0,1,0,,,,1,3465
118,3,4692699,42.28,19.9,11,2,1,,2.8,0,1,1,0,0,1,,1,940
119,0,4680000,24.1,5.3,14.8,5,1,,,1,0,0,1,,,,1,6208
120,2,4700000,38.4,11.4,15.4,2,1,,,1,0,1,0,0,1,,1,8601
121,1,4700000,36.6,8,16,1,1,,,,,1,0,,,,2,8370
122,1,4725000,38.07,,,6,1,,,1,0,1,0,0,1,,1,8601
123,3,4792600,38.65,10,16.8,10,1,,2.7,0,1,,,0,1,,1,6703
124,3,4848385,43.59,19,10.9,8,1,,2.8,1,0,1,0,0,1,,1,940
125,3,4819500,31.5,,12.9,18,1,,3,1,0,1,0,0,1,,1,8498
126,3,4914661,53.49,9.8,24.5,4,2,,2.8,0,1,1,0,0,1,,1,940
127,0,4932000,41.1,10.9,20.2,2,1,,,,,1,0,,,1,1,4826
128,3,4961240,40.01,10.5,18,14,1,,2.7,0,1,,,,,,1,6703
129,3,4958834,48.36,23.3,11.9,5,1,,2.8,1,0,1,0,0,1,,1,940
130,1,4950000,33.98,13.1,12,9,1,,,1,0,1,0,0,1,,1,6568
131,3,5000925,51.35,11.2,25.5,12,2,,2.8,0,1,1,0,0,1,,1,940
132,3,5031920,40.58,10.4,18.1,2,1,,2.7,0,1,,,,,,1,6703
133,0,5000000,34.6,11.6,12,6,1,,,1,0,1,0,0,1,,1,8498
134,1,5125000,39.1,,,10,1,,,1,0,1,0,0,1,,1,8601
135,3,5125337,36.43,11.3,15.1,5,1,,2.8,1,0,1,0,0,1,,1,8139
136,,5100000,25.2,8,16.7,2,1,,,1,0,1,0,1,0,0,2,4454
137,3,5239200,35.4,,16,15,1,,3,1,0,1,0,0,1,,1,8498
138,0,5200000,32,6,15,13,1,,,1,0,,,,,,1,4836
139,1,5290000,52.3,9.4,30.6,5,2,1,,1,0,1,1,0,1,0,1,8546
140,3,5304400,35.6,,13.5,16,1,,3,1,0,1,0,0,1,,1,8498
141,3,5339950,36.5,17.2,10.4,2,1,,2.65,1,0,1,0,,,,1,5033
142,3,5306020,35.9,17,10.1,1,1,,2.65,1,0,1,0,,,,1,3465
143,0,5300000,36.9,10.2,18.2,6,1,,,1,0,0,1,,,,2,6208
144,3,5358845,38.1,17.6,10.7,6,1,,2.89,1,0,1,0,0,1,,1,654
145,3,5413162,32.3,7.2,13.9,8,1,,2.89,1,0,1,0,1,0,,1,1602
146,0,5400000,36.2,,,7,1,,,,,0,1,1,0,0,1,8631
147,3,5467782,36.4,9.9,13.9,16,1,,2.89,1,0,1,0,0,1,,1,8057
148,3,5494300,32.9,6,14.7,1,1,,2.65,1,0,1,0,,,,1,3092
149,3,5541164,34.43,10.4,15,14,1,,2.8,1,0,1,0,0,1,,1,5882
150,3,5563460,34.3,11,11.7,5,1,,2.65,1,0,1,0,,,,1,4076
151,1,5500000,47,,,2,2,,,0,1,,,1,0,1,1,2203
152,2,5500000,43,,,1,2,,,0,1,1,0,,,0,1,2976
153,3,5583760,33.8,10.7,11.5,1,1,,2.65,1,0,1,0,,,,1,4028
154,3,5644921,38.8,17.4,11.7,6,1,,2.89,1,0,1,0,0,1,,1,654
155,3,5605581,36.65,17.9,10.7,5,1,,2.8,1,0,0,1,0,1,,1,5882
156,3,5654250,35.9,16.9,10.1,1,1,,2.65,1,0,1,0,,,,1,3092
157,3,5696928,37.75,11.1,15.6,11,1,,2.8,1,0,1,0,0,1,,1,5882
158,3,5679961,36.28,10.9,17.1,13,1,,2.8,1,0,1,0,0,1,,1,5882
159,3,5678190,36.38,11,17.1,14,1,,2.8,1,0,1,0,0,1,,1,1473
160,3,5661600,33.7,10.7,11.5,10,1,,2.65,1,0,1,0,,,,1,400
161,0,5650000,38.4,10.6,19.4,9,1,,,1,0,0,1,1,0,,2,1765
162,3,5703054,40.2,18.7,11.7,3,1,,2.89,1,0,1,0,0,1,,1,654
163,3,5745600,37.8,,14.9,17,1,,3,1,0,1,0,0,1,,1,8498
164,3,5711700,39.5,5,25.9,6,2,,2.65,1,0,0,1,,,,1,5033
165,3,5712775,37.2,10.2,15.5,13,1,,2.89,1,0,1,0,0,1,,1,1602
166,3,5727844,38.33,11.2,16.6,10,1,,2.8,1,0,1,0,0,1,,1,4954
167,3,5723397,38.33,11.2,16.6,8,1,,2.8,1,0,1,0,0,1,,1,7131
168,1,5700000,37,11.5,16.6,9,1,,,0,1,,,1,0,1,1,3235
169,1,5700000,36.5,11.4,18,7,1,,,1,0,1,0,0,1,0,1,9589
170,0,5700000,65,,49,3,3,,,1,0,1,1,0,1,0,1,8992
171,1,5790000,37.1,,,11,1,,,1,0,,,0,1,1,2,311
172,3,5768400,38,17.9,11.4,9,1,,2.65,1,0,1,0,,,,1,4076
173,3,5772100,39.4,18.2,11.2,6,1,,2.65,1,0,1,0,,,,1,5176
174,3,178050000,236.91,,,1,1,,4.2,,,,,,,,1,9432
175,3,5825490,41.7,22.6,10.3,4,1,,2.65,1,0,1,0,,,,1,5033
176,3,5846000,39.5,19.6,11.2,14,1,,2.65,1,0,1,0,,,,1,5033
177,3,5822610,37.6,12.1,13.9,7,1,,2.89,1,0,1,0,0,1,,1,8057
178,3,5803560,34.3,10.7,11.5,13,1,,2.65,1,0,1,0,,,,1,9522
179,1,5800000,50,9,30,6,2,,,0,1,1,0,0,1,,2,8992
180,0,5800000,43,6,28,3,2,1,,1,0,,,1,0,1,1,6217
181,3,5868100,41.5,18.9,13.3,1,1,,2.65,1,0,1,0,,,,1,4162
182,3,5888126,46,20.9,12.1,2,1,,2.89,1,0,1,0,,,,1,654
183,3,5947150,49.15,10.9,27.6,10,2,,2.7,0,1,,,,,,1,6703
184,3,5909336,37.79,11.1,15.6,14,1,,2.8,1,0,1,0,0,1,,1,8139
185,3,5965433,46,20.9,12.1,2,1,,2.89,1,0,1,0,,,,1,8057
186,3,5944350,34.5,10.7,11.5,3,1,,2.65,1,0,1,0,1,0,,1,8281
187,3,5985000,34.2,,13.8,11,1,,3,1,0,1,0,0,1,,1,8498
188,3,5992150,39.5,18.1,11.1,2,1,,2.65,1,0,1,0,,,,1,4028
189,0,5950000,44.3,16,13,21,1,,,1,0,1,0,0,1,0,1,7071
190,,5900000,40.5,,,2,1,,2.9,1,0,1,0,1,0,2,1,1737
191,3,6027440,51.08,11.2,26.5,10,2,,2.7,0,1,,,,,,1,6703
192,3,6049390,43.9,17.6,12.1,8,1,,2.89,1,0,1,0,0,1,,1,8057
193,1,6000000,42,9,21,8,1,,,1,0,,,0,1,1,2,2036
194,3,6028260,43.4,23,11.4,1,1,,2.65,1,0,1,0,,,,1,7664
195,2,6000000,44,12,18,12,1,,,1,0,,,0,1,0,2,4040
196,3,6054567,34.9,10.3,11.9,7,1,,3.19,1,0,1,0,0,1,,1,654
197,3,6095430,39.3,18.1,11.1,16,1,,2.65,1,0,1,0,,,,1,400
198,3,6130304,46.6,22.1,13.2,2,1,,2.89,1,0,1,0,,,,1,8057
199,2,6100000,44,15,15,1,1,,,1,0,1,0,,,2,2,5887
200,3,6196740,45.1,22.5,12.4,2,1,,2.65,1,0,1,0,,,,1,4162
201,3,6175800,42.3,16,15.3,4,1,,2.65,0,1,1,0,,,,1,9522
202,3,6177000,43.5,22.7,11.5,9,1,,2.65,1,0,1,0,,,,1,4076
203,3,6185800,39.4,5.9,23.4,11,2,,2.65,1,0,0,1,,,,1,7411
204,3,6249880,52.52,11.2,26.5,16,2,,,,,,,,,,0,6703
205,3,6285440,51.52,12.1,27.2,13,2,,2.7,0,1,,,0,1,,1,6703
206,1,6200000,37.9,10,20,11,2,,,,,,,,,,1,2976
207,3,6265405,39.2,10.4,16.7,12,1,,2.89,1,0,1,0,0,1,,1,8939
208,3,6216210,42.9,16,15.3,9,1,,2.65,0,1,1,0,1,0,,1,9522
209,3,6220500,42.9,16,15.3,3,1,,2.65,0,1,1,0,1,0,,1,5176
210,,6250000,35.9,13.6,13,8,1,,,,,0,1,1,0,0,1,7193
211,3,6323700,39.4,19.6,11.2,17,1,,2.65,1,0,1,0,,,,1,4076
212,3,6383070,42.3,16.1,15.1,2,1,,2.65,0,1,1,0,,,,1,3092
213,,6350000,38.2,10,15,9,1,,2.85,1,0,,,0,1,2,1,841
214,3,6487808,47.27,6.5,25.4,4,2,,2.8,1,0,,,1,1,,1,3796
215,3,6476640,52.4,19.5,19.9,1,2,,2.65,0,2,0,1,,,,1,5033
216,,6400000,38,7,31,7,1,,2.74,1,0,0,1,0,1,2,1,3190
217,3,6520800,52.8,10.5,29.6,1,2,,2.65,0,2,0,1,,,,1,3465
218,1,6525000,60.64,,,5,2,,,1,0,1,0,0,1,,1,8601
219,2,6500000,42,12,21,5,1,,,1,0,1,0,0,1,2,1,5748
220,3,6562530,56.09,12.4,30.2,3,2,,2.7,0,2,,,0,1,,1,6703
221,3,6554073,55.03,5,35.5,1,3,,2.8,1,0,,,,,,1,3796
222,3,6563520,47.7,10.5,23.6,2,2,,2.65,0,1,0,1,,,,1,4162
223,3,6640880,51.4,10.6,26.6,2,2,,2.65,0,1,0,1,,,,1,4162
224,3,6608826,57.11,25.4,14.4,1,1,,2.8,1,0,0,1,,,,1,5882
225,3,6630300,47.7,10.5,23.6,2,2,,2.65,0,1,0,1,,,,1,7411
226,1,6600000,45,13,22,3,1,,,1,0,0,1,0,1,2,1,8577
227,1,6690000,57.3,10,30,5,2,,,1,1,1,1,0,1,,1,5540
228,3,6697260,52.2,11.7,26.9,5,2,,2.65,0,1,0,1,,,,1,5751
229,3,6746404,57.11,25.4,14.4,1,1,,2.8,1,0,0,1,,,,1,1473
230,3,6732112,51.6,5.9,34.4,12,2,,2.89,1,0,1,0,1,0,,1,5540
231,3,6722026,44.4,19.7,13.9,5,1,,2.89,1,0,1,0,1,0,,1,1602
232,2,6699000,45,15,14,1,2,,,1,0,,,,,1,1,4454
233,,6700000,42,10.2,17.9,10,1,,,1,0,1,0,0,1,2,1,3197
234,0,6700000,51.3,9,34,1,2,2,2.9,1,0,1,0,0,1,2,1,1519
235,3,6756631,49,20.3,14.5,14,1,,2.89,1,0,1,0,0,1,,1,654
236,3,6829284,50.16,6.2,28.5,4,2,,2.8,1,0,,,1,1,,1,3796
237,0,6808560,69.36,,39.5,5,3,,,0,1,,,0,1,,1,1828
238,3,6880500,41.7,,20.1,11,1,,3,1,0,1,0,0,1,,1,5966
239,3,6840397,54,6,36.7,8,2,,2.89,1,0,1,0,1,0,,1,5540
240,2,6900000,53,9.2,,5,2,1,3,2,0,1,0,0,1,0,1,4388
241,3,6944400,54,22.6,14.3,1,1,,2.65,0,2,1,0,,,,1,4162
242,3,6930000,52.5,18.8,20.3,2,2,,2.65,0,2,0,1,,,,1,400
243,3,6933332,51.32,13.2,25.2,9,2,,2.8,0,1,0,1,0,1,,1,7131
244,1,6900000,56,12,34,6,2,,,0,1,1,0,0,1,2,2,1099
245,3,6999600,57,11.4,30.6,2,2,,2.65,0,2,0,1,0,1,,1,4162
246,3,6955050,59.7,12.5,31,1,2,,2.65,0,2,0,1,,,,1,4076
247,3,6995913,51.31,13.2,25.3,9,2,,2.8,0,1,0,1,0,1,,1,4954
248,2,6950000,45,18,14,3,1,,,1,0,1,0,1,0,2,1,8865
249,0,6985505,45.6,6.9,25,14,2,,,,,,,,,,0,6604
250,,35000000,123.9,14,74.1,4,3,1,,2,0,1,0,,,2,2,5029
251,3,7061816,58,29.8,13.8,9,1,,2.89,1,1,1,0,0,1,,1,654
252,1,7000000,57,9,30,13,2,1,2.7,0,1,1,0,1,1,1,2,7988
253,3,7004100,55.5,19.7,22.7,2,2,,2.65,0,2,0,1,,,,1,5033
254,3,7008960,59.6,12.5,31,1,2,,2.65,0,2,0,1,,,,1,3465
255,3,7087680,55.2,19.8,22.7,4,2,,2.65,0,2,0,1,,,,1,4162
256,3,7074700,52.6,19.6,19.9,17,2,,2.65,0,2,0,1,,,,1,4076
257,,7029488,50.79,10.2,28.8,14,2,,2.8,0,1,0,1,0,1,,1,5882
258,3,7092066,54.29,11.2,30.3,11,2,,2.8,0,1,0,1,0,1,,1,4954
259,3,7045500,42.7,,17.2,9,1,,3,1,0,1,0,0,1,,1,7646
260,3,7141352,56.61,11.1,30,3,2,,2.8,1,0,,,1,1,,1,3796
261,3,7122110,59.9,13.5,30.4,2,2,,2.65,0,2,0,1,,,,1,4162
262,3,7127530,42.1,21.3,10.7,7,1,,2.65,1,0,1,0,1,0,,1,8281
263,3,7147490,64.1,28,21.4,2,2,,2.89,1,1,1,0,,,,1,654
264,3,7139520,59.2,20.8,23,2,2,,2.65,0,2,0,1,,,,1,4162
265,3,7123200,42.4,,17.2,9,1,,3,1,0,1,0,0,1,,1,7646
266,3,7185360,36.4,9.8,17.2,9,1,,2.65,1,0,1,0,,,,1,6594
267,3,7209909,62,25,21.4,6,2,,2.89,1,1,1,0,0,1,,1,654
268,3,7207056,59.76,11.6,31.4,1,2,,2.8,1,0,,,,,,1,3796
269,3,7201712,64.6,17.7,30.8,7,2,,2.89,1,1,1,0,0,1,,1,8057
270,3,7152432,55.18,11.8,29.7,13,2,,2.8,0,1,0,1,0,1,,1,1473
271,3,7249830,55.3,10.7,31.8,7,2,,2.65,0,2,0,1,,,,1,3465
272,3,7240590,56.7,19,22.8,5,2,,2.65,0,2,0,1,,,,1,5751
273,3,7250250,52.5,18.8,20.4,12,2,,2.65,0,2,0,1,,,,1,9522
274,2,7280000,52,10.1,25.7,15,2,1,,1,0,1,0,0,1,2,1,4669
275,3,7257400,55.4,,26.7,13,2,,3,0,1,1,0,0,1,,1,8498
276,3,7299538,64.1,17.3,28.7,8,2,,2.89,1,1,1,0,0,1,,1,8057
277,3,7293413,58.38,11.2,31,14,2,,2.8,0,1,0,1,0,1,,1,7131
278,3,7269760,59.2,12.5,31,4,2,,2.65,0,2,0,1,,,,1,3465
279,3,7321208,59.3,22.6,22.5,3,2,,2.89,1,1,1,0,1,0,,1,8057
280,3,7320320,60.2,13.2,30.8,1,2,,2.65,0,2,0,1,,,,1,3221
281,3,7322900,55.9,11.3,31.5,1,2,,2.65,0,2,0,1,,,,1,7078
282,3,7346720,59.2,20.8,23.1,6,2,,2.65,0,2,0,1,,,,1,5176
283,3,7345360,63,19.7,28.5,2,2,,2.89,1,1,1,0,,,,1,654
284,0,7300000,43.6,12,19,5,1,,,1,0,1,0,0,1,2,1,333
285,,7300000,46.9,11.7,18.1,6,1,,2.6,1,0,1,0,0,1,2,1,3857
286,3,7432824,59,18.4,24.1,2,2,,3.19,1,1,1,0,0,1,,1,654
287,3,7375500,44.7,,16.1,11,1,,3,0,1,1,0,0,1,,1,5785
288,3,7392680,63.73,21,28.4,2,2,,2.7,0,2,,,0,1,,1,6703
289,3,7382386,69.6,22.2,29.9,2,2,,2.89,1,1,1,0,0,1,,1,8057
290,2,7400000,37,8.5,19,6,1,,2.8,1,0,0,1,0,1,2,1,3777
291,3,7387500,59.1,20.8,23.1,8,2,,2.65,0,2,0,1,,,,1,7411
292,3,7402846,59.6,20.4,25.2,13,2,,2.89,1,1,1,0,0,1,,1,654
293,3,7366980,59.7,12.8,30.6,1,2,,2.65,0,2,0,1,,,,1,5293
294,3,7408500,44.9,,19,11,1,,3,1,0,1,0,0,1,,1,5966
295,3,7390487,56.8,9.5,29.9,12,2,,2.89,0,1,1,0,0,1,,1,5540
296,3,7433280,52.2,11.6,27.1,10,2,,2.65,0,1,0,1,,,,1,4028
297,3,7410750,61.5,14,30.7,1,2,,2.65,0,2,0,1,,,,1,7664
298,3,7437699,59.2,,30.9,1,2,,,,,,,1,0,,1,4390
299,,7400000,63.7,10.7,30.6,2,2,1,,0,1,1,0,0,1,1,1,7941
300,1,7450000,45,12,20,6,1,,,1,0,1,0,0,1,2,1,4596
301,3,7487693,57.9,18.9,25.9,2,2,,2.89,1,0,1,0,,,,1,3721
302,3,7542920,68.2,21.5,31.2,1,2,,2.65,0,2,0,1,,,,1,4162
303,3,7564259,56.3,16.3,24.1,3,2,,3.19,1,1,1,0,0,1,,1,654
304,3,7587273,58.5,20,27.3,2,2,,2.89,1,0,1,0,,,,1,3721
305,3,7594730,61.1,13.8,31,9,2,,2.65,0,2,0,1,,,,1,4076
306,3,7507066,60.7,14.2,29.3,14,2,,2.89,1,1,1,0,1,0,,1,5540
307,1,7600000,55.1,8.5,32.6,8,2,,2.6,0,1,,,0,1,2,1,761
308,3,7620480,56.7,19.6,22.1,22,2,,2.65,0,2,0,1,,,,1,8281
309,0,7600000,64,12,,2,2,1,3,1,0,0,1,,,0,1,2856
310,3,7721537,60.2,15.9,29,2,2,,2.89,1,1,1,0,,,,1,3721
311,3,7735980,57.05,5,35.5,9,3,,2.8,1,0,,,1,1,,1,3796
312,3,7734580,70.7,21.5,32.5,1,2,,2.65,0,2,0,1,,,,1,4162
313,3,7737192,69,21.5,30,3,2,,2.89,1,1,1,0,0,1,,1,8057
314,3,7703495,71.8,21.8,33.5,2,2,,2.89,1,1,1,0,,,,1,8057
315,3,7654500,56.7,19.6,22.1,2,2,,2.65,0,2,0,1,,,,1,3092
316,1,7750000,60.6,,,4,2,,,0,1,,,1,0,0,1,2856
317,1,7800000,64,8.4,32,6,3,,2.65,0,1,,,0,1,1,1,3535
318,3,7820700,59.7,20.8,23.1,5,2,,2.65,0,2,0,1,1,0,,1,5176
319,3,7825600,53.6,,25.9,18,2,,3,0,1,1,0,0,1,,1,8498
320,3,7767324,59.5,19.9,28.2,2,2,,2.89,1,0,1,0,,,,1,8939
321,,7875000,69.36,,39.8,13,3,,,0,1,1,0,0,1,,1,1828
322,3,7883070,66.3,11.6,27.7,24,2,,2.65,0,2,0,1,,,,1,8281
323,3,7896000,56,,42.3,10,2,,3,0,1,1,0,0,1,,1,8498
